id;nombre_planta;nombre_comun;nombre_cientifico;reino;lugar_adaptacion;lugar_proviene;uso;como_ingerir;dosis;tipo;clase;orden;familia;genero;especie;imagen_planta
59;Parietaria;Parietaria,albahaca de culebra, cañarroya, caracolera, hierba del muro;Parietaria officinalis L;Plantae;Es una planta muy común que crece en paredes de edificios abandonados, viejos muros y ruinas.;Europa central y meridional, Asia occidental y norte de África.;Para eliminar líquidos, Arenilla en el riñón Una receta natural para eliminar la arenilla en el riñón, también para las afecciones de pecho La parietaria también posee grandes propiedades beneficiosas contra las afecciones de pecho, siendo de gran eficacia para tratar casos de asma y bronquitis.;Elimina líquidos: el tallo y las hojas preparados en cocción permiten depurar el organismo mediante la eliminación de los desechos y fortalecer el funcionamiento del riñón, por lo que resulta una planta medicinal óptima para utilizarse en tratamientos para la diabetes o la obesidad. Arenilla en el riñón: la cocción de 50 g de tallo y hojas de parietaria en un litro de agua. Afecciones de pecho: se deberá consumir las hojas secas en polvo.;Arenilla en el riñón: Tomar por 21 días, dejar de beberla por 3 días, y reanudar por 15 días más. Afecciones de pecho: cantidad de 3 medias cucharaditas al día.;Magnoliophyta.;Magnoliopsida.;Urticales;Urticaceae;Parietaria L.;Parietaria officinalis;plantas/parietaria.jpg
36;Ajo;Ajo, ajete, ajo común y hortense que se come, ajo doméstico.;Allium sativum.;Plantae;Fue introducida en el Mediterráneo y luego a otras zonas del mundo.;Originaria de Asia occidental y media.;Afecciones del hígado.;Solo tiene que comerse un diente de ajo;Comer un diente de ajo cada día hasta que se sienta bien.;Magnoliophyta;Liliopsida.;Liliales.;Liliceae.;Allium;Allium sativum;plantas/ajo.jpg
4;Moradilla;Moradilla, modarillo, molle, Molle pispito.;Alternanthera porrigens.;Plantae;Es endémico de Argentina, Brasil, Chile, Paraguay, Bolivia, Perú y Uruguay.;Argentina, Bolivia, Paraguay.;Dolores de estómago, como muchos otros hermanos suyos, el Moradillo se emplea en construcciones rústicas, como corrales y cercos, y como combustible. Repito, también se usa la infusión de su follaje para curtir. Se dice que los baqueanos de las sierras emplean el follaje mascado para calmar el dolor de muelas;Haciendo hervir las hojas por 5 a 6 min.;2 días seguidos;Magnoliophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;Schinus;S. polygama;plantas/moradillo.jpg
103;Verdolaga;Verdolaga, flor de seda, borzolaga, engañagochos, lengua de gato.;Portulaca oleracea.;Plantae;Se ha naturalizado en todo el mundo.;Es originaria de India, Oriente Medio y el sur de Europa.;Se usa como un remedio para el estreñimiento y la inflamación del sistema urinario.;Se  realiza una infusión.;Las dosis tradicionales populares oscilan entre 125 y 400 gramos en el caso de polvo de verdolaga y 1 a 20 ml en el caso de que se utilice jugo del vegetal.;Magnoliophyta.;Magnoliopsida.;Caryophyllales;Portulacacea;Portulaca;Portulaca oleracea;plantas/verdolaga.jpg
50;Altamisa;Altamisa, hierba de San Juan, madra, madre yerba, artemisa, altamiso,;Ambrosia persiana;Plantae;Crece muy bien en suelos nitrogenados, en especial enmalezados y no cultivados.;Es nativa de áreas templadas de Europa, Asia, norte de África, está en Norteamérica.;La altamisa ha sido usada, comúnmente, para reducir la fiebre, dolores de cabeza, migraña y artritis, tiene, asimismo, propiedades astringentes y actúa como emoliente y suavizante natural. Los cataplasmas y cremas preparadas con ella suavizan y humectan la piel, al igual que calman y cicatrizan irritaciones menores. El baño externo con el cocimiento de sus hojas se usa como antiséptico, antiinflamatorio y cicatrizante. También combate la dermatitis. para el espanto y susto.;Recolectar una porción de altamisa, de chil-chil, de ruda y de guando de flor blanca y guando de flor amarilla y roja, atarlos individualmente por separado, luego irlos sacudiendo por el cuerpo de la persona con alcohol alcanforado. La oración que se recita en este ritual es conocido únicamente por el “curandero” que lo realiza.;Luego de la realización de este ritual se debe botar estas plantas ya utilizadas en calles transversales en forma de cruz para la desaparición de este mal.;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Artemisia;A. vulgaris;plantas/altamisa.jpg
84;Lengua de Tigre;Lengua de Tigre, espada de San Jorge, planta de la serpiente.;Sanseviera trifasciata;Plantae;Haciéndola resistente a los climas calurosos con poca necesidad de agua durante su plazo de vida.;Es originaria del África tropical  (específicamente Kenia y Angola).;Esta es una planta que usan varias tribus, considerándola medicinal. El jugo de las hojas, sirve para curar enfermedades del hígado y el bazo. También, ayuda en la prevención de enfermedades como el cáncer y tratar.;Se puede hacer un té con 20 g de las hojas que se ceban con agua caliente y se toman.;Dos tazas por día.;Magnoliophyta.;asparagales;Asparagales.;liliáceas;Sansevieria;laurus nobilis;plantas/lengua_de_tigre.jpg
58;Comino;Comino, alcamonia, comino concrto, comino gordo,comino real.;Cuminum cyminum.;Plantae;Difundida también por América.;Originaria de la cuenca del Mediterráneo.;Antibacterial: Este fruto ayuda a combatir problemas bacterianos buco dentales, morder los frutos nos puede ayudar a eliminar placas dentales, importante problemas de gingivitis, caries y mejora la higiene dental. Terapéutico: Sus minerales ricos en hierro, da fuerza al sistema inmune, lo cual aumenta las defensas y ayuda a combatir enfermedades como la anemia ferropénica. Es un sedante natural que ayuda a disminuir el insomnio. Adelgazante natural: Utilizado en la comidas para mejorar la digestión. Es recomendado para personas que están en dietas y procesos para bajar de peso. Esto se debe a que ayuda a una digestión correcta. Efecto analgésico y digestivo: Esto disminuye las flatulencias y baja la inflamación abdominal. Ayuda a limpiar el colon, lo cual contiene un efecto de protección contra el cáncer de colon. Aromáticas: Por su peculiar olor, es utilizado como un aromatizante natural. Ayuda a mejorar las secreciones gástricas, se utiliza como un aperitivo. Además de dar fuerzas y energía.;Aromáticas:  En una taza con agua hirviendo, agrega aproximadamente 2 gramos de semillas de comino.;Aromáticas:  Deja reposar y bebe una taza tras las comidas.;Magnoliophyta.;Magnoliopsida.;Apiales.;Apiaceae;Cuminum;Cuminum cyminum L.;plantas/oregano_B0SDjI9.jpg
62;Infante Blanco;Infante Blanco, amor seco, pegarropa, manayupa, runayupa.;Desmodium adscendens.;Plantae;Crece en todas las regiones del mundo.;Originaria de Indias occidentales y América tropical.;Recomendada si tienes problemas uterinos, depurador de sangre ayuda a eliminar la sangre muerta de la matriz de las mujeres. También se le asocian propiedades beneficiosas en casos de Hepatitis Tóxica y Vírica y dolores de cabeza de origen hepático.;Infusión.;Se recomienda usar 3 cucharadas la planta seca (20 gr aprox.) para 1 litro de agua, hervir por 5 minutos, dejar enfriar y beber, con fines terapéuticos para mujeres con problemas uterinos se recomienda tomar caliente o tibio no frio. Se puede tomar 2-3 vasos durante el día esto por 2 semanas.;Tracheophyta;Magnoliopsida;Fabales.;Fabaceae;Desmodium;Desmodium adscendens;plantas/infante_blanco.jpg
56;Sauce Blanco;Sauce Blanco, salguero, sauce blanco salado.;Sambucus racemosa.;Plantae;En lugares húmedos y no soporta las temperaturas extremas.;Se halla en zonas templadas, como el centro y sur de Europa, el norte de África y el oeste asiático.;El sauce blanco  puede calmar los dolores y aliviar la fiebre. Los nativos indios americanos ya la usaban antiguamente para los dolores de cabeza, fiebres, dolores musculares, y reumatismos.;Prepararla en agua y tomarla con miel al gusto.;Consumir de 4 a 5 tazas diarias.;Magnoliophyta.;Magnoliopsida.;Dipsacales.;Caprifoliaceae.;Salix.;S. alba.;plantas/sauce_blanco.jpg
64;Malva Blanca;Malva Blanca, bala, hierba del ángel, hierba del cáncer.;Sida cardifolia;Plantae;Crece también en las Antillas Mayores y Menores, la Florida, la América Centra y del Sur.;Es originaria de América, África y sur de Asia.;Se utiliza en la medicina popular por sus propiedades de limpieza de colon y como suplemento para perder peso.;Infusión.;Hacer hervir por 3 minutos el agua con 5 flores de malva, dejar enfriar y tomar el agua.;Magnoliophyta.;Magnoliopsida;Malvales.;Malvaceae.;Malva;Malva canariensis;plantas/malva_blanca.jpg
